"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","mouse_click","stim_duration","exp_stage","stim","coded_response","trial_num","reference","stim_rating","reference_rating","responses","credit_var"
"","874","","874","500","stim","single-stim-button","114","294153","0.0-114.0","dietary_decision","true","0","","No","874","decision","sbdietbar","-1","8","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","1602","","1602","500","stim","single-stim-button","115","296267","0.0-115.0","dietary_decision","true","0","","Yes","1602","decision","reddelicious","1","9","icecreamsandwich","{""health"":1,""taste"":2}","{""health"":0,""taste"":-1}","",""
"","2290","","2290","500","stim","single-stim-button","116","299070","0.0-116.0","dietary_decision","true","0","","Yes","2290","decision","wheatcrisps","1","10","icecreamsandwich","{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","1014","","1014","500","stim","single-stim-button","117","300585","0.0-117.0","dietary_decision","true","0","","Neutral","1014","decision","carrots","0","11","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","1875","","1875","500","stim","single-stim-button","118","302972","0.0-118.0","dietary_decision","true","0","","Yes","1875","decision","frozenyogart","1","12","icecreamsandwich","{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","2407","","2407","500","stim","single-stim-button","119","305888","0.0-119.0","dietary_decision","true","0","","Yes","2407","decision","wwmuffin","1","13","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","596","","596","500","stim","single-stim-button","120","306994","0.0-120.0","dietary_decision","true","0","","Yes","596","decision","cellery","1","14","icecreamsandwich","{""health"":-1,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","349","","349","500","stim","single-stim-button","121","307855","0.0-121.0","dietary_decision","true","0","","Yes","349","decision","uTwix","1","15","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","409","","409","500","stim","single-stim-button","122","308772","0.0-122.0","dietary_decision","true","0","","Yes","409","decision","grannysmith","1","16","icecreamsandwich","{""health"":0,""taste"":1}","{""health"":0,""taste"":-1}","",""
"","387","","387","500","stim","single-stim-button","123","309673","0.0-123.0","dietary_decision","true","0","","Yes","387","decision","cherryicecream","1","17","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","455","","455","500","stim","single-stim-button","124","310638","0.0-124.0","dietary_decision","true","0","","Yes","455","decision","Lindt","1","18","icecreamsandwich","{""health"":0,""taste"":1}","{""health"":0,""taste"":-1}","",""
"","470","","470","500","stim","single-stim-button","125","311622","0.0-125.0","dietary_decision","true","0","","Yes","470","decision","banana","1","19","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","520","","520","500","stim","single-stim-button","126","312656","0.0-126.0","dietary_decision","true","0","","Yes","520","decision","whitegrapes","1","20","icecreamsandwich","{""health"":1,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","436","","436","500","stim","single-stim-button","127","313599","0.0-127.0","dietary_decision","true","0","","Yes","436","decision","slimfastV","1","21","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","950","","950","500","stim","single-stim-button","128","315061","0.0-128.0","dietary_decision","true","0","","Yes","950","decision","brocollincauliflower","1","22","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","642","","642","500","stim","single-stim-button","129","316217","0.0-129.0","dietary_decision","true","0","","Yes","642","decision","ffraspsorbet","1","23","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","891","","891","500","stim","single-stim-button","130","317621","0.0-130.0","dietary_decision","true","0","","Yes","891","decision","MrsFields","1","24","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","1097","","1097","500","stim","single-stim-button","131","319230","0.0-131.0","dietary_decision","true","0","","Yes","1097","decision","Reeses","1","25","icecreamsandwich","{""health"":0,""taste"":-1}","{""health"":0,""taste"":-1}","",""
"","565","","565","500","stim","single-stim-button","132","320310","0.0-132.0","dietary_decision","true","0","","Yes","565","decision","sbcrackers","1","26","icecreamsandwich","{""health"":-1,""taste"":0}","{""health"":0,""taste"":-1}","",""
"","391","","391","500","stim","single-stim-button","133","321214","0.0-133.0","dietary_decision","true","0","","Yes","391","decision","laysclassic","1","27","icecreamsandwich","{""health"":-1,""taste"":""NaN""}","{""health"":0,""taste"":-1}","",""
"","409","","409","500","stim","single-stim-button","134","322124","0.0-134.0","dietary_decision","true","0","","Yes","409","decision","FamousAmos","1","28","icecreamsandwich","{""health"":0,""taste"":0}","{""health"":0,""taste"":-1}","",""
